name,probability
swiatek i.,0.07561459039422036
sabalenka a.,0.030730201801061875
jabeur o.,0.029638712487488304
ostapenko j.,0.07460258540421175
rybakina e.,0.026509481983406226
kvitova p.,0.011881374906825046
garcia c.,0.028763105522374335
pegula j.,0.06566982882213158
bencic b.,-0.057977114128429624
alexandrova e.,0.02372528025623736
swiatek i.,0.11520297509026667
sabalenka a.,0.07152684182352495
jabeur o.,0.08523325317403103
ostapenko j.,0.03854533310936671
rybakina e.,0.07527165627326243
kvitova p.,0.048805460293800285
garcia c.,0.07952021856750813
pegula j.,0.02902067753329396
bencic b.,0.13749162869186565
alexandrova e.,0.052043317644045656
swiatek i.,0.12669872300604304
sabalenka a.,0.053068673804284844
jabeur o.,0.055723307292949636
ostapenko j.,0.05353710308306742
rybakina e.,0.041902207196859526
kvitova p.,0.03742823081822125
garcia c.,0.016528753087238945
pegula j.,0.05388827109808368
bencic b.,-0.008321541096122737
alexandrova e.,0.06592743045773122
swiatek i.,0.13313707556347376
sabalenka a.,0.058324213280282325
jabeur o.,0.050101444696024844
ostapenko j.,0.05146081151279805
rybakina e.,0.06677171212127397
kvitova p.,0.05819574276372791
garcia c.,0.06289310366618203
pegula j.,0.034579268714159325
bencic b.,0.05589205816195232
alexandrova e.,0.0372258454854416
swiatek i.,0.1169261374192099
sabalenka a.,0.044900616824882625
jabeur o.,0.05255026061474913
ostapenko j.,0.056440342698693746
rybakina e.,0.024606689881339433
kvitova p.,0.010781349131718049
garcia c.,0.020148931640738346
pegula j.,0.059703274704040576
bencic b.,0.04896168459387741
alexandrova e.,0.045575652971576314
swiatek i.,0.1156602341507014
sabalenka a.,0.07791766029743682
jabeur o.,0.04736650179468786
ostapenko j.,0.04854687392096081
rybakina e.,0.08571644826124171
kvitova p.,0.085841388945114
garcia c.,0.08403266768047421
pegula j.,0.030737638638135056
bencic b.,0.029354929189280635
alexandrova e.,0.03491099125499593
swiatek i.,0.11378883345087912
sabalenka a.,0.055254974058855606
jabeur o.,0.05366588311867718
ostapenko j.,0.050614246403608606
rybakina e.,0.02519186653153846
kvitova p.,-0.004352414768566501
garcia c.,0.004287939001904523
pegula j.,0.08282180468382878
bencic b.,0.02896713619335929
alexandrova e.,0.03906460567734181
swiatek i.,0.08698270972501092
sabalenka a.,0.06554237558077226
jabeur o.,0.051348616314427074
ostapenko j.,0.07099882747487447
rybakina e.,0.08199612765383246
kvitova p.,0.10037235058247894
garcia c.,0.0906590302012871
pegula j.,0.011707531591062054
bencic b.,0.05138803977432569
alexandrova e.,0.04546608451534575
swiatek i.,0.09773860944718529
sabalenka a.,0.08205593457922682
jabeur o.,0.05411234672857126
ostapenko j.,0.1001827336355535
rybakina e.,0.09384483944948425
kvitova p.,0.07555704102416998
garcia c.,0.023012858680421813
pegula j.,0.030859999978772368
bencic b.,0.05356856386816128
alexandrova e.,0.04918231766834657
swiatek i.,0.09941365367480046
sabalenka a.,0.045186277063582456
jabeur o.,0.06221466131370678
ostapenko j.,0.028924919255934975
rybakina e.,0.03874238433890033
kvitova p.,0.017868419646772646
garcia c.,0.054564631482599164
pegula j.,0.06716873449324075
bencic b.,0.03207105331441465
alexandrova e.,0.014374345565603575
swiatek i.,0.10552246137765031
sabalenka a.,0.05569469525167695
jabeur o.,0.06011965231136616
ostapenko j.,0.06494057920851512
rybakina e.,0.045951284182348943
kvitova p.,0.04636705812479834
garcia c.,0.027705354949854752
pegula j.,0.060205264587881294
bencic b.,0.040871967066207396
alexandrova e.,0.03613167913530484
swiatek i.,0.1066716772314869
sabalenka a.,0.03716967708611167
jabeur o.,0.05719652647453165
ostapenko j.,0.0644580694499809
rybakina e.,0.04609544345907308
kvitova p.,0.05115941448991385
garcia c.,0.04799958746134549
pegula j.,0.05744239654425275
bencic b.,0.0390432852785447
alexandrova e.,0.024743091188864655
swiatek i.,0.10404970351626872
sabalenka a.,0.07821757547471198
jabeur o.,0.06202026702162942
ostapenko j.,0.04460426710333611
rybakina e.,0.061526941069565605
kvitova p.,0.04244794210314078
garcia c.,0.0453083989875564
pegula j.,0.016770082252255167
bencic b.,0.02665638104334013
alexandrova e.,0.04063401303433438
swiatek i.,0.09367245935509125
sabalenka a.,0.03859087343609097
jabeur o.,0.044514010601132144
ostapenko j.,0.05995807313667589
rybakina e.,0.04402598424354456
kvitova p.,0.045631211437837826
garcia c.,0.04019903136531161
pegula j.,0.06892142764769213
bencic b.,0.05434592431659524
alexandrova e.,0.035113879678121414
swiatek i.,0.09446663223381828
sabalenka a.,0.052440018540120495
jabeur o.,0.03574913262094531
ostapenko j.,0.04658222033752056
rybakina e.,0.05764117266691741
kvitova p.,0.04429191928268638
garcia c.,0.031983404705792286
pegula j.,0.02307157234059691
bencic b.,0.05132688050853495
alexandrova e.,0.028559460914545004
swiatek i.,0.0946065177003629
sabalenka a.,0.05986871070622953
jabeur o.,0.034553077580422135
ostapenko j.,0.04081650135975
rybakina e.,0.0667101157595727
kvitova p.,0.0514323397873834
garcia c.,0.04318020025001551
pegula j.,0.027675779102205547
bencic b.,0.047542629075769484
alexandrova e.,0.017423707296290003
swiatek i.,0.10028764283403951
sabalenka a.,0.06255871977080668
jabeur o.,0.05137248183250986
ostapenko j.,0.03615815360039139
rybakina e.,0.06874214894289399
kvitova p.,0.04943330015982253
garcia c.,0.04473190321568706
pegula j.,0.025571019404863726
bencic b.,0.04549166378611196
alexandrova e.,0.01987398718484258
swiatek i.,0.10079221534986582
sabalenka a.,0.05019965553725416
jabeur o.,0.056653452654553155
ostapenko j.,0.06228099601687912
rybakina e.,0.04535868020275059
kvitova p.,0.03778295293027992
garcia c.,0.037917247298917184
pegula j.,0.0551255568490899
bencic b.,0.024587864308549312
alexandrova e.,0.054127213663046375
swiatek i.,0.09823756673497341
sabalenka a.,0.07910513903146932
jabeur o.,0.06304775493027365
ostapenko j.,0.04278657376713665
rybakina e.,0.05351675323060375
kvitova p.,0.02280295991301018
garcia c.,0.030929177119761286
pegula j.,0.03251812077947626
bencic b.,0.037614384201600945
alexandrova e.,0.06789323604305397
swiatek i.,0.10102222235143948
sabalenka a.,0.06977626941242955
jabeur o.,0.06286241582728479
ostapenko j.,0.029800886767841178
rybakina e.,0.051916407723835246
kvitova p.,0.04167024203498117
garcia c.,0.03302188231413057
pegula j.,0.026956334393734294
bencic b.,0.04752667010002651
alexandrova e.,0.06849237127526231
swiatek i.,0.10667856538162891
sabalenka a.,0.055061957568054334
